Dátum,Forrás,Város,Ár,Méret (m2),Cím,Link,Azonosító
2026-04-04 21:41,Jófogás,Ismeretlen,-,-,97 nm-es ház eladó Gárdony,https://ingatlan.jofogas.hu/fejer/97_nm_es_haz_elado_Gardony_159385322.htm,jf_97_nm_es_haz_elado_Gardony_159385322
2026-04-04 21:41,Jófogás,Ismeretlen,-,-,Eladó 90 nm-es ház Pákozd,https://ingatlan.jofogas.hu/fejer/Elado_90_nm_es_haz_Pakozd_149775125.htm,jf_Elado_90_nm_es_haz_Pakozd_149775125
2026-04-04 21:41,Jófogás,Ismeretlen,-,-,Gárdonyi eladó 115 nm-es ház,https://ingatlan.jofogas.hu/fejer/Gardonyi_elado_115_nm_es_haz_159275723.htm,jf_Gardonyi_elado_115_nm_es_haz_159275723
2026-04-04 21:41,OTP Ingatlanpont,Velence,74.9 M Ft,88,"OTP Ház (88 m², 74 M Ft)",https://www.otpip.hu/ingatlan/M319289/elado-ikerhaz-2481-velence-csendes?m=M319289,haz_velence_74900000_88
2026-04-04 21:41,OTP Ingatlanpont,Pakozd,89.9 M Ft,180,"OTP Ház (180 m², 89 M Ft)",https://www.otpip.hu/ingatlan/M325518/elado-csaladi-haz-8095-pakozd-csendes?m=M325518,haz_pakozd_89900000_180
2026-04-04 21:41,OTP Ingatlanpont,Kapolnasnyek,74 M Ft,100,"OTP Ház (100 m², 74 M Ft)",https://www.otpip.hu/ingatlan/M320781/elado-csaladi-haz-2475-kapolnasnyek-csendes?m=M320781,haz_kapolnasnyek_74000000_100
2026-04-04 21:41,Duna House,Gardony,93 M Ft,95,Duna House Ház (HZ071952),https://dh.hu/ingatlan/HZ071952/elado-haz-fejer-megye-gardony-dinnyesen,haz_gardony_93000000_95
2026-04-04 21:41,Duna House,Velence,83.4 M Ft,125,Duna House Ház (HZ043456),https://dh.hu/ingatlan/HZ043456/elado-haz-fejer-megye-velence-vasutallomas-kozeli,haz_velence_83400000_125
2026-04-04 21:41,Duna House,Sukoro,75 M Ft,90,Duna House Ház (HZ059975),https://dh.hu/ingatlan/HZ059975/elado-haz-fejer-megye-sukoro,haz_sukoro_75000000_90
2026-04-04 21:41,Duna House,Velence,74.9 M Ft,95,Duna House Ház (HZ096518),https://dh.hu/ingatlan/HZ096518/elado-haz-fejer-megye-velence-jokai-utca-kozeleben,haz_velence_74900000_95
